Date,Time,Stage [ft],Quality
4/16/2017,1:56:00 AM,926.47,200 (Unknown)
4/16/2017,2:11:00 AM,926.47,200 (Unknown)
4/16/2017,2:26:00 AM,926.46,200 (Unknown)
4/16/2017,2:41:00 AM,926.48,200 (Unknown)
4/16/2017,2:56:00 AM,926.48,200 (Unknown)
4/16/2017,3:11:00 AM,926.47,200 (Unknown)
4/16/2017,3:26:00 AM,926.45,200 (Unknown)
4/16/2017,3:41:00 AM,926.47,200 (Unknown)
4/16/2017,3:56:00 AM,926.49,200 (Unknown)
4/16/2017,4:11:00 AM,926.48,200 (Unknown)
4/16/2017,4:26:00 AM,926.47,200 (Unknown)
4/16/2017,4:41:00 AM,926.47,200 (Unknown)
4/16/2017,4:56:00 AM,926.48,200 (Unknown)
4/16/2017,5:11:00 AM,926.47,200 (Unknown)
4/16/2017,5:26:00 AM,926.47,200 (Unknown)
4/16/2017,5:41:00 AM,926.46,200 (Unknown)
4/16/2017,5:56:00 AM,926.47,200 (Unknown)
4/16/2017,6:11:00 AM,926.47,200 (Unknown)
4/16/2017,6:26:00 AM,926.48,200 (Unknown)
4/16/2017,6:41:00 AM,926.48,200 (Unknown)
4/16/2017,6:56:00 AM,926.47,200 (Unknown)
4/16/2017,7:11:00 AM,926.47,200 (Unknown)
4/16/2017,7:26:00 AM,926.49,200 (Unknown)
4/16/2017,7:41:00 AM,926.46,200 (Unknown)
4/16/2017,7:56:00 AM,926.47,200 (Unknown)
4/16/2017,8:11:00 AM,926.47,200 (Unknown)
4/16/2017,8:26:00 AM,926.5,200 (Unknown)
4/16/2017,8:41:00 AM,926.48,200 (Unknown)
4/16/2017,8:56:00 AM,926.49,200 (Unknown)
4/16/2017,9:11:00 AM,926.46,200 (Unknown)
4/16/2017,9:26:00 AM,926.49,200 (Unknown)
4/16/2017,9:41:00 AM,926.49,200 (Unknown)
4/16/2017,9:56:00 AM,926.47,200 (Unknown)
4/16/2017,10:11:00 AM,926.48,200 (Unknown)
4/16/2017,10:26:00 AM,926.47,200 (Unknown)
4/16/2017,10:41:00 AM,926.49,200 (Unknown)
4/16/2017,10:56:00 AM,926.47,200 (Unknown)
4/16/2017,11:11:00 AM,926.45,200 (Unknown)
4/16/2017,11:26:00 AM,926.5,200 (Unknown)
4/16/2017,11:41:00 AM,926.51,200 (Unknown)
4/16/2017,11:56:00 AM,926.47,200 (Unknown)
4/16/2017,12:11:00 PM,926.5,200 (Unknown)
4/16/2017,12:26:00 PM,926.48,200 (Unknown)
4/16/2017,12:41:00 PM,926.46,200 (Unknown)
4/16/2017,12:56:00 PM,926.5,200 (Unknown)
4/16/2017,1:11:00 PM,926.48,200 (Unknown)
4/16/2017,1:26:00 PM,926.5,200 (Unknown)
4/16/2017,1:41:00 PM,926.51,200 (Unknown)
4/16/2017,1:56:00 PM,926.48,200 (Unknown)
4/16/2017,2:11:00 PM,926.49,200 (Unknown)
4/16/2017,2:26:00 PM,926.48,200 (Unknown)
4/16/2017,2:41:00 PM,926.49,200 (Unknown)
4/16/2017,2:56:00 PM,926.48,200 (Unknown)
4/16/2017,3:11:00 PM,926.49,200 (Unknown)
4/16/2017,3:26:00 PM,926.5,200 (Unknown)
4/16/2017,3:41:00 PM,926.5,200 (Unknown)
4/16/2017,3:56:00 PM,926.5,200 (Unknown)
4/16/2017,4:11:00 PM,926.47,200 (Unknown)
4/16/2017,4:26:00 PM,926.48,200 (Unknown)
4/16/2017,4:41:00 PM,926.49,200 (Unknown)
4/16/2017,4:56:00 PM,926.5,200 (Unknown)
4/16/2017,5:11:00 PM,926.5,200 (Unknown)
4/16/2017,5:26:00 PM,926.49,200 (Unknown)
4/16/2017,5:41:00 PM,926.48,200 (Unknown)
4/16/2017,5:56:00 PM,926.48,200 (Unknown)
4/16/2017,6:11:00 PM,926.45,200 (Unknown)
4/16/2017,6:26:00 PM,926.49,200 (Unknown)
4/16/2017,6:41:00 PM,926.48,200 (Unknown)
4/16/2017,6:56:00 PM,926.47,200 (Unknown)
4/16/2017,7:11:00 PM,926.47,200 (Unknown)
4/16/2017,7:26:00 PM,926.47,200 (Unknown)
4/16/2017,7:41:00 PM,926.45,200 (Unknown)
4/16/2017,7:56:00 PM,926.45,200 (Unknown)
4/16/2017,8:11:00 PM,926.47,200 (Unknown)
4/16/2017,8:26:00 PM,926.45,200 (Unknown)
4/16/2017,8:41:00 PM,926.47,200 (Unknown)
4/16/2017,8:56:00 PM,926.47,200 (Unknown)
4/16/2017,9:11:00 PM,926.46,200 (Unknown)
4/16/2017,9:26:00 PM,926.48,200 (Unknown)
4/16/2017,9:41:00 PM,926.47,200 (Unknown)
4/16/2017,9:56:00 PM,926.45,200 (Unknown)
4/16/2017,10:11:00 PM,926.47,200 (Unknown)
4/16/2017,10:26:00 PM,926.46,200 (Unknown)
4/16/2017,10:41:00 PM,926.45,200 (Unknown)
4/16/2017,10:56:00 PM,926.47,200 (Unknown)
4/16/2017,11:11:00 PM,926.48,200 (Unknown)
4/16/2017,11:26:00 PM,926.44,200 (Unknown)
4/16/2017,11:41:00 PM,926.46,200 (Unknown)
4/16/2017,11:56:00 PM,926.47,200 (Unknown)
4/17/2017,12:11:00 AM,926.47,200 (Unknown)
4/17/2017,12:26:00 AM,926.48,200 (Unknown)
4/17/2017,12:41:00 AM,926.48,200 (Unknown)
4/17/2017,12:56:00 AM,926.48,200 (Unknown)
4/17/2017,1:11:00 AM,926.47,200 (Unknown)
4/17/2017,1:26:00 AM,926.46,200 (Unknown)
4/17/2017,1:41:00 AM,926.46,200 (Unknown)
4/17/2017,1:56:00 AM,926.47,200 (Unknown)
4/17/2017,2:11:00 AM,926.47,200 (Unknown)
4/17/2017,2:26:00 AM,926.47,200 (Unknown)
4/17/2017,2:41:00 AM,926.46,200 (Unknown)
4/17/2017,2:56:00 AM,926.46,200 (Unknown)
4/17/2017,3:11:00 AM,926.46,200 (Unknown)
4/17/2017,3:26:00 AM,926.47,200 (Unknown)
4/17/2017,3:41:00 AM,926.47,200 (Unknown)
4/17/2017,3:56:00 AM,926.46,200 (Unknown)
4/17/2017,4:11:00 AM,926.46,200 (Unknown)
4/17/2017,4:26:00 AM,926.47,200 (Unknown)
4/17/2017,4:41:00 AM,926.47,200 (Unknown)
4/17/2017,4:56:00 AM,926.45,200 (Unknown)
4/17/2017,5:11:00 AM,926.46,200 (Unknown)
4/17/2017,5:26:00 AM,926.48,200 (Unknown)
4/17/2017,5:41:00 AM,926.45,200 (Unknown)
4/17/2017,5:56:00 AM,926.46,200 (Unknown)
4/17/2017,6:11:00 AM,926.46,200 (Unknown)
4/17/2017,6:26:00 AM,926.47,200 (Unknown)
4/17/2017,6:41:00 AM,926.47,200 (Unknown)
4/17/2017,6:56:00 AM,926.46,200 (Unknown)
4/17/2017,7:11:00 AM,926.46,200 (Unknown)
4/17/2017,7:26:00 AM,926.48,200 (Unknown)
4/17/2017,7:41:00 AM,926.45,200 (Unknown)
4/17/2017,7:56:00 AM,926.47,200 (Unknown)
4/17/2017,8:11:00 AM,926.47,200 (Unknown)
4/17/2017,8:26:00 AM,926.46,200 (Unknown)
4/17/2017,8:41:00 AM,926.47,200 (Unknown)
4/17/2017,8:56:00 AM,926.49,200 (Unknown)
4/17/2017,9:11:00 AM,926.47,200 (Unknown)
4/17/2017,9:26:00 AM,926.46,200 (Unknown)
4/17/2017,9:41:00 AM,926.47,200 (Unknown)
4/17/2017,9:56:00 AM,926.46,200 (Unknown)
4/17/2017,10:11:00 AM,926.47,200 (Unknown)
4/17/2017,10:26:00 AM,926.46,200 (Unknown)
4/17/2017,10:41:00 AM,926.46,200 (Unknown)
4/17/2017,10:56:00 AM,926.48,200 (Unknown)
4/17/2017,11:11:00 AM,926.46,200 (Unknown)
4/17/2017,11:26:00 AM,926.48,200 (Unknown)
4/17/2017,11:41:00 AM,926.49,200 (Unknown)
4/17/2017,11:56:00 AM,926.5,200 (Unknown)
4/17/2017,12:11:00 PM,926.5,200 (Unknown)
4/17/2017,12:26:00 PM,926.48,200 (Unknown)
4/17/2017,12:41:00 PM,926.49,200 (Unknown)
4/17/2017,12:56:00 PM,926.49,200 (Unknown)
4/17/2017,1:11:00 PM,926.5,200 (Unknown)
4/17/2017,1:26:00 PM,926.51,200 (Unknown)
4/17/2017,1:41:00 PM,926.53,200 (Unknown)
